srfID,startDateTime,endDateTime,domainID,siteID,dpID,fieldName,horizontalPosition,verticalPosition,srfValue,srfValueJustification,createDateTime,lastUpdateDateTime
18671,2021-03-02T16:16:00Z,2021-03-02T16:36:00Z,D14,SRER,DP1.00006.001,TFPrecipSciRvwQF,005,000,2,"Per DQTT0001189; sensor tested for functionality. ",2021-03-04T23:59:52Z,2021-03-04T23:59:52Z
18669,2021-03-02T16:31:00Z,2021-03-02T16:32:00Z,D14,SRER,DP1.00006.001,TFPrecipSciRvwQF,003,000,2,"Per DQTT0001189; sensor tested for functionality. ",2021-03-04T23:51:13Z,2021-03-04T23:51:13Z
